TIMESTAMP           | PROVID | VOICE_TAG                           | STAT  | FILE
2026-03-08 19:30:49 | Azure  | de-DE-KlarissaNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-KlarissaNeural.mp3
2026-03-08 19:30:50 | Azure  | de-DE-KlausNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-KlausNeural.mp3
2026-03-08 19:30:51 | Azure  | de-DE-LouisaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-LouisaNeural.mp3
2026-03-08 19:30:52 | Azure  | de-DE-MajaNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-MajaNeural.mp3
2026-03-08 19:30:52 | Azure  | de-DE-RalfNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-RalfNeural.mp3
2026-03-08 19:30:53 | Azure  | de-DE-TanjaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-TanjaNeural.mp3
2026-03-08 19:30:54 | Azure  | el-GR-AthinaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EL-GR\el-GR-AthinaNeural.mp3
2026-03-08 19:30:55 | Azure  | el-GR-NestorasNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EL-GR\el-GR-NestorasNeural.mp3
2026-03-08 19:30:55 | Azure  | en-AU-NatashaNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-NatashaNeural.mp3
2026-03-08 19:30:56 | Azure  | en-AU-WilliamNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-WilliamNeural.mp3
2026-03-08 19:30:56 | Azure  | en-AU-AnnetteNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-AnnetteNeural.mp3
2026-03-08 19:30:57 | Azure  | en-AU-CarlyNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-CarlyNeural.mp3
2026-03-08 19:30:58 | Azure  | en-AU-DarrenNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-DarrenNeural.mp3
2026-03-08 19:30:58 | Azure  | en-AU-DuncanNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-DuncanNeural.mp3
2026-03-08 19:30:59 | Azure  | en-AU-ElsieNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-ElsieNeural.mp3
2026-03-08 19:30:59 | Azure  | en-AU-FreyaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-FreyaNeural.mp3
2026-03-08 19:31:00 | Azure  | en-AU-JoanneNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-JoanneNeural.mp3
2026-03-08 19:31:00 | Azure  | en-AU-KenNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-KenNeural.mp3
2026-03-08 19:31:01 | Azure  | en-AU-KimNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-KimNeural.mp3
2026-03-08 19:31:01 | Azure  | en-AU-NeilNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-NeilNeural.mp3
2026-03-08 19:31:02 | Azure  | en-AU-TimNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-TimNeural.mp3
2026-03-08 19:31:02 | Azure  | en-AU-TinaNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-AU\en-AU-TinaNeural.mp3
2026-03-08 19:31:03 | Azure  | en-CA-ClaraNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-CA\en-CA-ClaraNeural.mp3
2026-03-08 19:31:04 | Azure  | en-CA-LiamNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-CA\en-CA-LiamNeural.mp3
2026-03-08 19:31:04 | Azure  | en-GB-SoniaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-SoniaNeural.mp3
2026-03-08 19:31:05 | Azure  | en-GB-RyanNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-RyanNeural.mp3
2026-03-08 19:31:05 | Azure  | en-GB-LibbyNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-LibbyNeural.mp3
2026-03-08 19:31:06 | Azure  | en-GB-AbbiNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-AbbiNeural.mp3
2026-03-08 19:31:07 | Azure  | en-GB-AlfieNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-AlfieNeural.mp3
2026-03-08 19:31:07 | Azure  | en-GB-BellaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-BellaNeural.mp3
2026-03-08 19:31:08 | Azure  | en-GB-ElliotNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\EN-GB\en-GB-ElliotNeural.mp3
